"","X","ID_BIO","n","W","Lt","Ls","Date","ID","FC","H","A","FCrel","L.H","L.H.1","L.H.A"
"31",31,"BIO12021",60,21,11,9,"44205","3",21,3.5,1.6,0.858748646064158,38.5,14.5,61.6
"759",759,"BIO 06 02 2023",9,134,19.5,15.2,"44963","67",134,7,3,1.07059397616193,136.5,26.5,409.5
"191",191,"BIO4 2021",40,79,16,13.5,"44386","2",79,5,2.3,1.10962340707665,80,21,184
"768",768,"BIO 06 02 2023",6,340,27.3,22,"44963","76",340,9,4,1.04049921372072,245.7,36.3,982.8
"1261",1261,"BIO 021023",2,139,21.5,18,"45201",NA,139,6,2.5,0.84061865039384,129,27.5,322.5
"235",235,NA,12,51,14.2,12,"44489",NA,51,4.5,2,1.00679842295033,63.9,18.7,127.8
"517",517,"BIO4-03-2022",2,168,22,18,"44708",NA,168,6.6,2.5,0.951521278524296,145.2,28.6,363
"864",864,NA,5,280,25,20,"45028","5",280,7.3,2.8,1.10136643095638,182.5,32.3,511
"1380",1380,"BIO101023",2,23.2,10,8.5,"45209",NA,23.2,3,1,1.24504971602344,30,13,30
"1308",1308,"BIO 021023",49,155,20,17,"45201",NA,155,6,3,1.15210711642441,120,26,360
"236",236,NA,13,127,19,16,"44489",NA,127,6.5,3,1.09269048098151,123.5,25.5,370.5
"446",446,"BIO1-01-2022",13,87.7,16.6,14,"44722",NA,87.7,5.6,2.5,1.1090472134097,92.96,22.2,232.4
"319",319,"BIO3-03-2022",95,6,5.7,4.5,"44701",NA,6,2,1,1.59990748675836,11.4,7.7,11.4
"267",267,"BIO O1-02-2022",2,7.5,7,6,"44610",NA,7.5,2,1,1.11311583744924,14,9,14
"642",642,NA,13,NA,17,14,"44824",NA,85,4.5,2.2,1.00433202366044,76.5,21.5,168.3
"725",725,"BIO 0702 2023",33,163,21.5,17.4,"44964","33",163,6.5,3,0.98576143895105,139.75,28,419.25
"1289",1289,"BIO 021023",30,153,20,16.5,"45201",NA,153,6.5,3,1.13724121814797,130,26.5,390
"624",624,"BIO 01-2022",25,NA,24.2,19,"44824",NA,232,7,3,1.00125631860943,169.4,31.2,508.2
"25",25,"BIO12021",104,19,10.5,8.5,"44205","3",19,3.3,1.5,0.887197743762125,34.65,13.8,51.975
"198",198,"BIO4 2021",20,77,17,14,"44386","2",77,5,2.2,0.909806656727694,85,22,187
"1183",1183,"BIO 150923",22,79,17,14.5,"45184","22",79,5,2,0.933437998460881,85,22,170
"716",716,"BIO 0702 2023",24,284,26,21.2,"44964","24",284,8,3.5,0.998879408271384,208,34,728
"75",75,"BIO12021",4,71,15,12,"44205","2",71,4.5,2.1,1.19879462369679,67.5,19.5,141.75
"1278",1278,"BIO 021023",19,220,24.5,20,"45201",NA,220,7.8,3,0.916684138777168,191.1,32.3,573.3
"696",696,"BIO 0702 2023",4,307,26,22,"44964","4",307,8.2,3.2,1.07977457161731,213.2,34.2,682.24
"1322",1322,"BIO 021023",63,130,19.5,16,"45201",NA,130,5.5,2.5,1.03863594702277,107.25,25,268.125
"1169",1169,"BIO 150923",8,29,11.2,9.1,"45184","8",29,4,1.5,1.12648887203377,44.8,15.2,67.2
"664",664,"BIO 101022",5,130,20,16.5,"10/10/ 2022",NA,130,6,2.8,0.966283387968864,120,26,336
"998",998,"BIO 280823",15,430,29.5,24,"45166","15",430,10,4,1.0549570401274,295,39.5,1180
"297",297,"BIO3-03-2022",98,3,5,4,"44701",NA,3,0.7,0.4,1.16240511148763,3.5,5.7,1.4
"739",739,"BIO 0702 2023",1,13,9,7,"44963","47",13,2.5,1,0.942198533777693,22.5,11.5,22.5
"467",467,"BIO4-03-2022",10,107,18,15.5,"44708",NA,107,5.9,2.7,1.07410144738861,106.2,23.9,286.74
"625",625,"BIO 01-2022",26,NA,25,21,"44824",NA,250,7,3,0.983362884782482,175,32,525
